year,bowl,bowlid,mm,yy,team1,score1,team2,score2,ot
1986,Gator,Gator,Dec,1986,Clemson,27,Stanford,21,
1987,Gator,Gator,Dec,1987,LSU,30,South Carolina,13,
1988,Gator,Gator,Jan,1989,Georgia,34,Michigan St.,27,
1989,Gator,Gator,Dec,1989,Clemson,27,West Virginia,7,
1990,Gator,Gator,Jan,1991,Michigan,35,Mississippi,3,
1991,Gator,Gator,Dec,1991,Oklahoma,48,Virginia,14,
1992,Gator,Gator,Dec,1992,Florida,27,NC State,10,
1993,Gator,Gator,Dec,1993,Alabama,24,North Carolina,10,
1994,Gator,Gator,Dec,1994,Tennessee,45,Virginia Tech,23,
1995,Gator,Gator,Jan,1996,Syracuse,41,Clemson,0,
1996,Gator,Gator,Jan,1997,North Carolina,20,West Virginia,13,
1997,Gator,Gator,Jan,1998,North Carolina,42,Virginia Tech,3,
1998,Gator,Gator,Jan,1999,Georgia Tech,35,Notre Dame,28,
1999,Gator,Gator,Jan,2000,Miami,28,Georgia Tech,13,
2000,Gator,Gator,Jan,2001,Virginia Tech,41,Clemson,20,
2001,Gator,Gator,Jan,2002,Florida St.,30,Virginia Tech,17,
2002,Gator,Gator,Jan,2003,NC State,28,Notre Dame,6,
2003,Gator,Gator,Jan,2004,Maryland,41,West Virginia,7,
2004,Gator,Gator,Jan,2005,Florida St.,30,West Virginia,18,
2005,Gator,Gator,Jan,2006,Virginia Tech,35,Louisville,24,
2006,Gator,Gator,Jan,2007,West Virginia,38,Georgia Tech,35,
2007,Gator,Gator,Jan,2008,Texas Tech,31,Virginia,28,
2008,Gator,Gator,Jan,2009,Nebraska,26,Clemson,21,
2009,Gator,Gator,Jan,2010,Florida St.,33,West Virginia,21,
2010,Gator,Gator,Jan,2011,Miss State,52,Michigan,14,
2011,Gator,Gator,Jan,2012,Florida,24,Ohio State,17,
2012,Gator,Gator,Jan,2013,Northwestern,34,Miss State,20,
2013,Gator,Gator,Jan,2014,Nebraska,24,Georgia,19,
2014,TaxSlayer,Gator,Jan,2015,Tennessee,45,Iowa,28,
2015,TaxSlayer,Gator,Jan,2016,Georgia,24,Penn State,17,
2016,TaxSlayer,Gator,Dec,2016,Georgia Tech,33,Kentucky,18,
2017,TaxSlayer,Gator,Dec,2017,Miss State,31,Louisville,27,
2018,Gator,Gator,Dec,2018,Texas A&M,52,NC State,13,
2019,Gator,Gator,Jan,2020,Tennessee,23,Indiana,22,
2020,Gator,Gator,Jan,2021,Kentucky,23,NC State,21,
2021,Gator,Gator,Dec,2021,Wake Forest,38,Rutgers,10,
2022,Gator,Gator,Dec,2022,Notre Dame,45,South Carolina,38,
2023,Gator,Gator,Dec,2023,Clemson,38,Kentucky,35,
2024,Gator,Gator,Jan,2025,Mississippi,52,Duke,20,
1961,Gotham,Gotham,Dec,1961,Baylor,24,Utah State,9,
1962,Gotham,Gotham,Dec,1962,Nebraska,36,Miami,34,
1947,Great Lakes,Great Lakes,Dec,1947,Kentucky,24,Villanova,14,
1986,Hall of Fame,Hall of Fame,Dec,1986,Boston College,27,Georgia,24,
1987,Hall of Fame,Hall of Fame,Jan,1988,Michigan,28,Alabama,24,
1988,Hall of Fame,Hall of Fame,Jan,1989,Syracuse,23,LSU,10,
1989,Hall of Fame,Hall of Fame,Jan,1990,Auburn,31,Ohio State,14,
1990,Hall of Fame,Hall of Fame,Jan,1991,Clemson,30,Illinois,0,
1991,Hall of Fame,Hall of Fame,Jan,1992,Syracuse,24,Ohio State,17,
1992,Hall of Fame,Hall of Fame,Jan,1993,Tennessee,38,Boston College,23,
1993,Hall of Fame,Hall of Fame,Jan,1994,Michigan,42,NC State,7,
1994,Outback,Hall of Fame,Jan,1995,Wisconsin,34,Duke,20,
1995,Outback,Hall of Fame,Jan,1996,Penn State,43,Auburn,14,
1996,Outback,Hall of Fame,Jan,1997,Alabama,17,Michigan,14,
1997,Outback,Hall of Fame,Jan,1998,Georgia,33,Wisconsin,6,
1998,Outback,Hall of Fame,Jan,1999,Penn State,26,Kentucky,14,
1999,Outback,Hall of Fame,Jan,2000,Georgia,28,Purdue,25,OT
2000,Outback,Hall of Fame,Jan,2001,South Carolina,24,Ohio State,7,
2001,Outback,Hall of Fame,Jan,2002,South Carolina,31,Ohio State,28,
2002,Outback,Hall of Fame,Jan,2003,Michigan,38,Florida,30,
2003,Outback,Hall of Fame,Jan,2004,Iowa,37,Florida,17,
2004,Outback,Hall of Fame,Jan,2005,Georgia,24,Wisconsin,21,
2005,Outback,Hall of Fame,Jan,2006,Florida,31,Iowa,24,
2006,Outback,Hall of Fame,Jan,2007,Penn State,20,Tennessee,10,
2007,Outback,Hall of Fame,Jan,2008,Tennessee,21,Wisconsin,17,
2008,Outback,Hall of Fame,Jan,2009,Iowa,31,South Carolina,10,
2009,Outback,Hall of Fame,Jan,2010,Auburn,38,Northwestern,35,OT
2010,Outback,Hall of Fame,Jan,2011,Florida,37,Penn State,24,
2011,Outback,Hall of Fame,Jan,2012,Michigan St.,33,Georgia,30,3OT
2012,Outback,Hall of Fame,Jan,2013,South Carolina,33,Michigan,28,
2013,Outback,Hall of Fame,Jan,2014,LSU,21,Iowa,14,
2014,Outback,Hall of Fame,Jan,2015,Wisconsin,34,Auburn,31,OT
2015,Outback,Hall of Fame,Jan,2016,Tennessee,45,Northwestern,6,
2016,Outback,Hall of Fame,Jan,2017,Florida,30,Iowa,3,
2017,Outback,Hall of Fame,Jan,2018,South Carolina,26,Michigan,19,
2018,Outback,Hall of Fame,Jan,2019,Iowa,27,Miss State,22,
2019,Outback,Hall of Fame,Jan,2020,Minnesota,31,Auburn,24,
2020,Outback,Hall of Fame,Jan,2021,Mississippi,26,Indiana,20,
2021,Outback,Hall of Fame,Jan,2022,Arkansas,24,Penn State,10,
2022,ReliaQuest,Hall of Fame,Jan,2023,Miss State,19,Illinois,10,
2023,ReliaQuest,Hall of Fame,Jan,2024,LSU,35,Wisconsin,31,
2024,ReliaQuest,Hall of Fame,Dec,2024,Michigan,19,Alabama,13,
1946,Harbor,Harbor,Jan,1947,Montana St.,13,New Mexico,13,tie
1947,Harbor,Harbor,Jan,1948,Hardin Simmons,53,San Diego St.,0,
1948,Harbor,Harbor,Jan,1949,Villanova,27,Nevada,7,
2002,Hawaii,Hawaii,Dec,2002,Tulane,36,Hawaii,28,
2003,Hawaii,Hawaii,Dec,2003,Hawaii,54,Houston,48,3OT
2004,Hawaii,Hawaii,Dec,2004,Hawaii,59,UAB,40,
2005,Hawaii,Hawaii,Dec,2005,Nevada,49,UCF,48,OT
2006,Hawaii,Hawaii,Dec,2006,Hawaii,41,Arizona St.,24,
2007,Hawaii,Hawaii,Dec,2007,East Carolina,41,Boise St.,38,
2008,Hawaii,Hawaii,Dec,2008,Notre Dame,49,Hawaii,21,
2009,Hawaii,Hawaii,Dec,2009,SMU,45,Nevada,10,
2010,Hawaii,Hawaii,Dec,2010,Tulsa,62,Hawaii,35,
2011,Hawaii,Hawaii,Dec,2011,Southern Miss,24,Nevada,17,
2012,Hawaii,Hawaii,Dec,2012,SMU,43,Fresno St.,10,
2013,Hawaii,Hawaii,Dec,2013,Oregon St.,38,Boise St.,23,
2014,Hawaii,Hawaii,Dec,2014,Rice,30,Fresno St.,6,
2015,Hawaii,Hawaii,Dec,2015,San Diego St.,42,Cincinnati,7,
2016,Hawaii,Hawaii,Dec,2016,Hawaii,52,Middle Tenn.,35,
2017,Hawaii,Hawaii,Dec,2017,Fresno St.,33,Houston,27,
2018,Hawaii,Hawaii,Dec,2018,Louisiana Tech,31,Hawaii,14,
2019,Hawaii,Hawaii,Dec,2019,Hawaii,38,BYU,34,
2020,Hawaii,Hawaii,(cancelled),,,,,,
2021,Hawaii,Hawaii,(cancelled),,,,,,
2022,Hawaii,Hawaii,Dec,2022,Middle Tenn.,25,San Diego St.,23,
2023,Hawaii,Hawaii,Dec,2023,Coastal Carolina,24,San Jose St.,14,
2024,Hawaii,Hawaii,Dec,2024,South Florida,41,San Jose St.,39,5OT
2010,TicketCity,First Responder,Jan,2011,Texas Tech,45,Northwestern,38,
2011,TicketCity,First Responder,Jan,2012,Houston,30,Penn State,14,
2012,Heart of Dallas,First Responder,Jan,2013,Oklahoma St.,58,Purdue,14,
2013,Heart of Dallas,First Responder,Jan,2014,North Texas,36,UNLV,14,
2014,Heart of Dallas,First Responder,Dec,2014,Louisiana Tech,35,Illinois,18,
2015,Heart of Dallas,First Responder,Dec,2015,Washington,44,Southern Miss,31,
2016,Heart of Dallas,First Responder,Dec,2016,Army,38,North Texas,31,OT
2017,Heart of Dallas,First Responder,Dec,2017,Utah,30,West Virginia,14,
2018,First Responder,First Responder,Dec,2018,Boston College,0,Boise St.,0,Cancelled
2019,First Responder,First Responder,Dec,2019,Western Ky.,23,Western Mich.,20,
2020,First Responder,First Responder,Dec,2020,Louisiana,31,UTSA,24,
2021,First Responder,First Responder,Dec,2021,Air Force,31,Louisville,28,
2022,First Responder,First Responder,Dec,2022,Memphis,38,Utah State,10,
2023,First Responder,First Responder,Dec,2023,Texas St.,45,Rice,21,
2024,First Responder,First Responder,Jan,2025,Texas St.,30,North Texas,28,
1978,Holiday,Holiday,Dec,1978,Navy,23,BYU,16,
1979,Holiday,Holiday,Dec,1979,Indiana,38,BYU,37,
1980,Holiday,Holiday,Dec,1980,BYU,46,SMU,45,
1981,Holiday,Holiday,Dec,1981,BYU,38,Washington St.,36,
1982,Holiday,Holiday,Dec,1982,Ohio State,47,BYU,17,
1983,Holiday,Holiday,Dec,1983,BYU,21,Missouri,17,
1984,Holiday,Holiday,Dec,1984,BYU,24,Michigan,17,
1985,Holiday,Holiday,Dec,1985,Arkansas,18,Arizona St.,17,
1986,Holiday,Holiday,Dec,1986,Iowa,39,San Diego St.,38,
1987,Holiday,Holiday,Dec,1987,Iowa,20,Wyoming,19,
1988,Holiday,Holiday,Dec,1988,Oklahoma St.,62,Wyoming,14,
1989,Holiday,Holiday,Dec,1989,Penn State,50,BYU,39,
1990,Holiday,Holiday,Dec,1990,Texas A&M,65,BYU,14,
1991,Holiday,Holiday,Dec,1991,BYU,13,Iowa,13,tie
1992,Holiday,Holiday,Dec,1992,Hawaii,27,Illinois,17,
1993,Holiday,Holiday,Dec,1993,Ohio State,28,BYU,21,
1994,Holiday,Holiday,Dec,1994,Michigan,24,Colorado St.,14,
1995,Holiday,Holiday,Dec,1995,Kansas St.,54,Colorado St.,21,
1996,Holiday,Holiday,Dec,1996,Colorado,33,Washington,21,
1997,Holiday,Holiday,Dec,1997,Colorado St.,35,Missouri,24,
1998,Holiday,Holiday,Dec,1998,Arizona,23,Nebraska,20,
1999,Holiday,Holiday,Dec,1999,Kansas St.,24,Washington,20,
2000,Holiday,Holiday,Dec,2000,Oregon,35,Texas,30,
2001,Holiday,Holiday,Dec,2001,Texas,47,Washington,43,
2002,Holiday,Holiday,Dec,2002,Kansas St.,34,Arizona St.,27,
2003,Holiday,Holiday,Dec,2003,Washington St.,28,Texas,20,
2004,Holiday,Holiday,Dec,2004,Texas Tech,45,California,31,
2005,Holiday,Holiday,Dec,2005,Oklahoma,17,Oregon,14,
2006,Holiday,Holiday,Dec,2006,California,45,Texas A&M,10,
2007,Holiday,Holiday,Dec,2007,Texas,52,Arizona St.,34,
2008,Holiday,Holiday,Dec,2008,Oregon,42,Oklahoma St.,31,
2009,Holiday,Holiday,Dec,2009,Nebraska,33,Arizona,0,
2010,Holiday,Holiday,Dec,2010,Washington,19,Nebraska,7,
2011,Holiday,Holiday,Dec,2011,Texas,21,California,10,
2012,Holiday,Holiday,Dec,2012,Baylor,49,UCLA,26,
2013,Holiday,Holiday,Dec,2013,Texas Tech,37,Arizona St.,23,
2014,Holiday,Holiday,Dec,2014,USC,45,Nebraska,42,
2015,Holiday,Holiday,Dec,2015,Wisconsin,23,USC,21,
2016,Holiday,Holiday,Dec,2016,Minnesota,17,Washington St.,12,
2017,Holiday,Holiday,Dec,2017,Michigan St.,42,Washington St.,17,
2018,Holiday,Holiday,Dec,2018,Northwestern,31,Utah,20,
2019,Holiday,Holiday,Dec,2019,Iowa,49,USC,24,
2020,Holiday,Holiday,(cancelled),,,,,,
2021,Holiday,Holiday,(cancelled),,,,,,
2022,Holiday,Holiday,Dec,2022,Oregon,28,North Carolina,27,
2023,Holiday,Holiday,Dec,2023,USC,42,Louisville,28,
2024,Holiday,Holiday,Dec,2024,Syracuse,52,Washington St.,35,
2000,GalleyFurniture.com,Houston,Dec,2000,East Carolina,40,Texas Tech,27,
2001,GalleyFurniture.com,Houston,Dec,2001,Texas A&M,28,TCU,9,
2002,Houston,Houston,Dec,2002,Oklahoma St.,33,Southern Miss,23,
2003,Houston,Houston,Dec,2003,Texas Tech,38,Navy,14,
2004,Houston,Houston,Dec,2004,Colorado,33,UTEP,28,
2005,Houston,Houston,Dec,2005,TCU,27,Iowa State,24,
2006,Texas,Houston,Dec,2006,Rutgers,37,Kansas St.,10,
2007,Texas,Houston,Dec,2007,TCU,20,Houston,13,
2008,Texas,Houston,Dec,2008,Rice,38,Western Mich.,14,
2009,Texas,Houston,Dec,2009,Navy,35,Missouri,13,
2010,Texas,Houston,Dec,2010,Illinois,38,Baylor,14,
2011,Meineke Car Care,Houston,Dec,2011,Texas A&M,33,Northwestern,22,
2012,Meineke Car Care,Houston,Dec,2012,Texas Tech,34,Minnesota,31,
2013,Texas,Houston,Dec,2013,Syracuse,21,Minnesota,17,
2014,Texas,Houston,Dec,2014,Arkansas,31,Texas,7,
2015,Texas,Houston,Dec,2015,LSU,56,Texas Tech,27,
2016,Texas,Houston,Dec,2016,Kansas St.,33,Texas A&M,28,
2017,Texas,Houston,Dec,2017,Texas,33,Missouri,16,
2018,Texas,Houston,Dec,2018,Baylor,45,Vanderbilt,38,
2019,Texas,Houston,Dec,2019,Texas A&M,24,Oklahoma St.,21,
2020,Texas,Houston,(cancelled),,,,,,
2021,Texas,Houston,Jan,2022,Kansas St.,42,LSU,20,
2022,Texas,Houston,Dec,2022,Texas Tech,42,Mississippi,25,
2023,Texas,Houston,Dec,2023,Oklahoma St.,31,Texas A&M,23,
2024,Texas,Houston,Dec,2024,LSU,44,Baylor,31,
1997,Humanitarian,Idaho Potato,Dec,1997,Cincinnati,35,Utah State,19,
1998,Humanitarian,Idaho Potato,Dec,1998,Idaho,42,Southern Miss,35,
1999,Humanitarian,Idaho Potato,Dec,1999,Boise St.,34,Louisville,31,
2000,Humanitarian,Idaho Potato,Dec,2000,Boise St.,38,UTEP,23,
2001,Humanitarian,Idaho Potato,Dec,2001,Clemson,49,Louisiana Tech,24,
2002,Humanitarian,Idaho Potato,Dec,2002,Boise St.,34,Iowa State,16,
2003,Humanitarian,Idaho Potato,Jan,2004,Georgia Tech,52,Tulsa,10,
2004,MPC Computers,Idaho Potato,Dec,2004,Fresno St.,37,Virginia,34,OT
2005,MPC Computers,Idaho Potato,Dec,2005,Boston College,27,Boise St.,21,
2006,MPC Computers,Idaho Potato,Dec,2006,Miami,21,Nevada,20,
2007,Humanitarian,Idaho Potato,Dec,2007,Fresno St.,40,Georgia Tech,28,
2008,Humanitarian,Idaho Potato,Dec,2008,Maryland,42,Nevada,35,
2009,Humanitarian,Idaho Potato,Dec,2009,Idaho,43,Bowling Green,42,
2010,Humanitarian,Idaho Potato,Dec,2010,Northern Ill.,40,Fresno St.,17,
2011,Idaho Potato,Idaho Potato,Dec,2011,Ohio,24,Utah State,23,
2012,Idaho Potato,Idaho Potato,Dec,2012,Utah State,41,Toledo,15,
2013,Idaho Potato,Idaho Potato,Dec,2013,San Diego St.,49,Buffalo,24,
2014,Idaho Potato,Idaho Potato,Dec,2014,Air Force,38,Western Mich.,24,
2015,Idaho Potato,Idaho Potato,Dec,2015,Akron,23,Utah State,21,
2016,Idaho Potato,Idaho Potato,Dec,2016,Idaho,61,Colorado St.,50,
2017,Idaho Potato,Idaho Potato,Dec,2017,Wyoming,37,Central Mich.,14,
2018,Idaho Potato,Idaho Potato,Dec,2018,BYU,49,Western Mich.,18,
2019,Idaho Potato,Idaho Potato,Jan,2020,Ohio,30,Nevada,21,
2020,Idaho Potato,Idaho Potato,Dec,2020,Nevada,38,Tulane,27,
2021,Idaho Potato,Idaho Potato,Dec,2021,Wyoming,52,Kent State,38,
2022,Idaho Potato,Idaho Potato,Dec,2022,Eastern Mich.,41,San Jose St.,27,
2023,Idaho Potato,Idaho Potato,Dec,2023,Georgia St.,45,Utah State,22,
2024,Idaho Potato,Idaho Potato,Dec,2024,Northern Ill.,28,Fresno St.,20,2OT
1976,Independence,Independence,Dec,1976,McNeese,20,Tulsa,16,
1977,Independence,Independence,Dec,1977,Louisiana Tech,24,Louisville,14,
1978,Independence,Independence,Dec,1978,East Carolina,35,Louisiana Tech,13,
1979,Independence,Independence,Dec,1979,Syracuse,31,McNeese,7,
1980,Independence,Independence,Dec,1980,Southern Miss,16,McNeese,14,
1981,Independence,Independence,Dec,1981,Texas A&M,33,Oklahoma St.,16,
1982,Independence,Independence,Dec,1982,Wisconsin,14,Kansas St.,3,
1983,Independence,Independence,Dec,1983,Air Force,9,Mississippi,3,
1984,Independence,Independence,Dec,1984,Air Force,23,Virginia Tech,7,
1985,Independence,Independence,Dec,1985,Minnesota,20,Clemson,13,
1986,Independence,Independence,Dec,1986,Mississippi,20,Texas Tech,17,
1987,Independence,Independence,Dec,1987,Washington,24,Tulane,12,
1988,Independence,Independence,Dec,1988,Southern Miss,38,UTEP,18,
1989,Independence,Independence,Dec,1989,Oregon,27,Tulsa,24,
1990,Independence,Independence,Dec,1990,Louisiana Tech,34,Maryland,34,tie
1991,Independence,Independence,Dec,1991,Georgia,24,Arkansas,15,
1992,Independence,Independence,Dec,1992,Wake Forest,39,Oregon,35,
1993,Independence,Independence,Dec,1993,Virginia Tech,45,Indiana,20,
1994,Independence,Independence,Dec,1994,Virginia,20,TCU,10,
1995,Independence,Independence,Dec,1995,LSU,45,Michigan St.,26,
1996,Independence,Independence,Dec,1996,Auburn,32,Army,29,
1997,Independence,Independence,Dec,1997,LSU,27,Notre Dame,9,
1998,Independence,Independence,Dec,1998,Mississippi,35,Texas Tech,18,
1999,Independence,Independence,Dec,1999,Mississippi,27,Oklahoma,25,
2000,Independence,Independence,Dec,2000,Miss State,43,Texas A&M,41,OT
2001,Independence,Independence,Dec,2001,Alabama,14,Iowa State,13,
2002,Independence,Independence,Dec,2002,Mississippi,27,Nebraska,23,
2003,Independence,Independence,Dec,2003,Arkansas,27,Missouri,14,
2004,Independence,Independence,Dec,2004,Iowa State,17,Miami Ohio,13,
2005,Independence,Independence,Dec,2005,Missouri,38,South Carolina,31,
2006,Independence,Independence,Dec,2006,Oklahoma St.,34,Alabama,31,
2007,Independence,Independence,Dec,2007,Alabama,30,Colorado,24,
2008,Independence,Independence,Dec,2008,Louisiana Tech,17,Northern Ill.,10,
2009,Independence,Independence,Dec,2009,Georgia,44,Texas A&M,20,
2010,Independence,Independence,Dec,2010,Air Force,14,Georgia Tech,7,
2011,Independence,Independence,Dec,2011,Missouri,41,North Carolina,24,
2012,Independence,Independence,Dec,2012,Ohio,45,UL Monroe,14,
2013,AdvoCare V100,Independence,Dec,2013,Arizona,42,Boston College,19,
2014,Independence,Independence,Dec,2014,South Carolina,24,Miami,21,
2015,Independence,Independence,Dec,2015,Virginia Tech,55,Tulsa,52,
2016,Independence,Independence,Dec,2016,NC State,41,Vanderbilt,17,
2017,Independence,Independence,Dec,2017,Florida St.,42,Southern Miss,13,
2018,Independence,Independence,Dec,2018,Duke,56,Temple,27,
2019,Independence,Independence,Dec,2019,Louisiana Tech,14,Miami,0,
2020,Independence,Independence,(cancelled),,,,,,
2021,Independence,Independence,Dec,2021,UAB,31,BYU,28,
2022,Independence,Independence,Dec,2022,Houston,23,Louisiana,16,
2023,Independence,Independence,Dec,2023,Texas Tech,34,California,14,
2024,Independence,Independence,Dec,2024,Army,27,Louisiana Tech,6,
2006,International,International,Jan,2007,Cincinnati,27,Western Mich.,24,
2007,International,International,Jan,2008,Rutgers,52,Ball State,20,
2008,International,International,Jan,2009,Connecticut,38,Buffalo,20,
2009,International,International,Jan,2010,South Florida,27,Northern Ill.,3,
2021,LA,LA,Dec,2021,Utah State,24,Oregon St.,13,
2022,LA,LA,Dec,2022,Fresno St.,29,Washington St.,6,
2023,LA,LA,Dec,2023,UCLA,35,Boise St.,22,
2024,LA,LA,Dec,2024,UNLV,24,California,13,
1924,LA Christmas,LA Christmas,Dec,1924,USC,20,Missouri,7,
1959,Liberty,Liberty,Dec,1959,Penn State,7,Alabama,0,
1960,Liberty,Liberty,Dec,1960,Penn State,41,Oregon,12,
1961,Liberty,Liberty,Dec,1961,Syracuse,15,Miami,14,
1962,Liberty,Liberty,Dec,1962,Oregon St.,6,Villanova,0,
1963,Liberty,Liberty,Dec,1963,Miss State,16,NC State,12,
1964,Liberty,Liberty,Dec,1964,Utah,32,West Virginia,6,
1965,Liberty,Liberty,Dec,1965,Mississippi,13,Auburn,7,
1966,Liberty,Liberty,Dec,1966,Miami,14,Virginia Tech,7,
1967,Liberty,Liberty,Dec,1967,NC State,14,Georgia,7,
1968,Liberty,Liberty,Dec,1968,Mississippi,34,Virginia Tech,17,
1969,Liberty,Liberty,Dec,1969,Colorado,47,Alabama,33,
1970,Liberty,Liberty,Dec,1970,Tulane,17,Colorado,3,
1971,Liberty,Liberty,Dec,1971,Tennessee,14,Arkansas,13,
1972,Liberty,Liberty,Dec,1972,Georgia Tech,31,Iowa State,30,
1973,Liberty,Liberty,Dec,1973,NC State,31,Kansas,18,
1974,Liberty,Liberty,Dec,1974,Tennessee,7,Maryland,3,
1975,Liberty,Liberty,Dec,1975,USC,20,Texas A&M,0,
1976,Liberty,Liberty,Dec,1976,Alabama,36,UCLA,6,
1977,Liberty,Liberty,Dec,1977,Nebraska,21,North Carolina,17,
1978,Liberty,Liberty,Dec,1978,Missouri,20,LSU,15,
1979,Liberty,Liberty,Dec,1979,Penn State,9,Tulane,6,
1980,Liberty,Liberty,Dec,1980,Purdue,28,Missouri,25,
1981,Liberty,Liberty,Dec,1981,Ohio State,31,Navy,28,
1982,Liberty,Liberty,Dec,1982,Alabama,21,Illinois,15,
1983,Liberty,Liberty,Dec,1983,Notre Dame,19,Boston College,18,
1984,Liberty,Liberty,Dec,1984,Auburn,21,Arkansas,15,
1985,Liberty,Liberty,Dec,1985,Baylor,21,LSU,7,
1986,Liberty,Liberty,Dec,1986,Tennessee,21,Minnesota,14,
1987,Liberty,Liberty,Dec,1987,Georgia,20,Arkansas,17,
1988,Liberty,Liberty,Dec,1988,Indiana,34,South Carolina,10,
1989,Liberty,Liberty,Dec,1989,Mississippi,42,Air Force,29,
1990,Liberty,Liberty,Dec,1990,Air Force,23,Ohio State,11,
1991,Liberty,Liberty,Dec,1991,Air Force,38,Miss State,15,
1992,Liberty,Liberty,Dec,1992,Mississippi,13,Air Force,0,
